StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,"Consent ","Age ","Gender ","OMSI ","Prolific_ID ",M _1,M _2,M _3,M _4,M _5,M _6,M _7,M _8,M _9,M _10,M _11,M _12,M _13,M _14,M _15,"M_Rel ",F _1,F _2,F _3,F _4,F _5,F _6,F _7,F _8,F _9,F _10,F _11,F _12,F _13,F _14,"F_Rel ","Music check ",PROLIFIC_PID
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,Do you consent to participating?,"What is your age? (e.g., 99)",What is your gender?,"In terms of your musical interest and expertise, which title best describes you?","What is your prolific ID?
Please note that this response should auto-fill with the correct ID","Imagine yourself in the following scenario and then rate how you would respond to the following statements in that experience:




In order to get ready to exercise you decide to put on music which gives you the right frame of mind. - The music was motivating me to do something","Imagine yourself in the following scenario and then rate how you would respond to the following statements in that experience:




In order to get ready to exercise you decide to put on music which gives you the right frame of mind. - Listening to music made me more alert","Imagine yourself in the following scenario and then rate how you would respond to the following statements in that experience:




In order to get ready to exercise you decide to put on music which gives you the right frame of mind. - The music pumped me up","Imagine yourself in the following scenario and then rate how you would respond to the following statements in that experience:




In order to get ready to exercise you decide to put on music which gives you the right frame of mind. - I used the music to motivate myself","Imagine yourself in the following scenario and then rate how you would respond to the following statements in that experience:




In order to get ready to exercise you decide to put on music which gives you the right frame of mind. - The music kept me concentrated on the task I was supposed to do","Imagine yourself in the following scenario and then rate how you would respond to the following statements in that experience:




In order to get ready to exercise you decide to put on music which gives you the right frame of mind. - The music helped me concentrate","Imagine yourself in the following scenario and then rate how you would respond to the following statements in that experience:




In order to get ready to exercise you decide to put on music which gives you the right frame of mind. - I chose to listen to music to help me focus","Imagine yourself in the following scenario and then rate how you would respond to the following statements in that experience:




In order to get ready to exercise you decide to put on music which gives you the right frame of mind. - The music helped me accomplish work I needed to do","Imagine yourself in the following scenario and then rate how you would respond to the following statements in that experience:




In order to get ready to exercise you decide to put on music which gives you the right frame of mind. - Music helped me focus on what I was doing","Imagine yourself in the following scenario and then rate how you would respond to the following statements in that experience:




In order to get ready to exercise you decide to put on music which gives you the right frame of mind. - The music motivated me to finish the task I had to do","Imagine yourself in the following scenario and then rate how you would respond to the following statements in that experience:




In order to get ready to exercise you decide to put on music which gives you the right frame of mind. - The music reduced my motivation","Imagine yourself in the following scenario and then rate how you would respond to the following statements in that experience:




In order to get ready to exercise you decide to put on music which gives you the right frame of mind. - I used the the music to block out distractions","Imagine yourself in the following scenario and then rate how you would respond to the following statements in that experience:




In order to get ready to exercise you decide to put on music which gives you the right frame of mind. - I was more focused while listening to the music","Imagine yourself in the following scenario and then rate how you would respond to the following statements in that experience:




In order to get ready to exercise you decide to put on music which gives you the right frame of mind. - The music let me focus on the present moment","Imagine yourself in the following scenario and then rate how you would respond to the following statements in that experience:




In order to get ready to exercise you decide to put on music which gives you the right frame of mind. - If you see this statement then select strongly disagree as your answer",How relevant was the scenario based on your own life experience?,"Imagine yourself in the following scenario and then rate how you would respond to the following statements in that experience:




You have an intricate task that requires your attention. To put your mind to it, you turn on a specific music playlist. - The music was motivating me to do something","Imagine yourself in the following scenario and then rate how you would respond to the following statements in that experience:




You have an intricate task that requires your attention. To put your mind to it, you turn on a specific music playlist. - Listening to music made me more alert","Imagine yourself in the following scenario and then rate how you would respond to the following statements in that experience:




You have an intricate task that requires your attention. To put your mind to it, you turn on a specific music playlist. - The music pumped me up","Imagine yourself in the following scenario and then rate how you would respond to the following statements in that experience:




You have an intricate task that requires your attention. To put your mind to it, you turn on a specific music playlist. - I used the music to motivate myself","Imagine yourself in the following scenario and then rate how you would respond to the following statements in that experience:




You have an intricate task that requires your attention. To put your mind to it, you turn on a specific music playlist. - The music kept me concentrated on the task I was supposed to do","Imagine yourself in the following scenario and then rate how you would respond to the following statements in that experience:




You have an intricate task that requires your attention. To put your mind to it, you turn on a specific music playlist. - The music helped me concentrate","Imagine yourself in the following scenario and then rate how you would respond to the following statements in that experience:




You have an intricate task that requires your attention. To put your mind to it, you turn on a specific music playlist. - I chose to listen to music to help me focus","Imagine yourself in the following scenario and then rate how you would respond to the following statements in that experience:




You have an intricate task that requires your attention. To put your mind to it, you turn on a specific music playlist. - The music helped me accomplish work I needed to do","Imagine yourself in the following scenario and then rate how you would respond to the following statements in that experience:




You have an intricate task that requires your attention. To put your mind to it, you turn on a specific music playlist. - Music helped me focus on what I was doing","Imagine yourself in the following scenario and then rate how you would respond to the following statements in that experience:




You have an intricate task that requires your attention. To put your mind to it, you turn on a specific music playlist. - The music motivated me to finish the task I had to do","Imagine yourself in the following scenario and then rate how you would respond to the following statements in that experience:




You have an intricate task that requires your attention. To put your mind to it, you turn on a specific music playlist. - The music reduced my motivation","Imagine yourself in the following scenario and then rate how you would respond to the following statements in that experience:




You have an intricate task that requires your attention. To put your mind to it, you turn on a specific music playlist. - I used the the music to block out distractions","Imagine yourself in the following scenario and then rate how you would respond to the following statements in that experience:




You have an intricate task that requires your attention. To put your mind to it, you turn on a specific music playlist. - I was more focused while listening to the music","Imagine yourself in the following scenario and then rate how you would respond to the following statements in that experience:




You have an intricate task that requires your attention. To put your mind to it, you turn on a specific music playlist. - The music let me focus on the present moment",How relevant was the scenario based on your own life experience?,Did you listen to music while completing this survey?,PROLIFIC_PID
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID1218656098""}","{""ImportId"":""QID1218656099_TEXT""}","{""ImportId"":""QID1218656100""}","{""ImportId"":""QID1218656101""}","{""ImportId"":""QID1218656102_TEXT""}","{""ImportId"":""QID1218656103_1""}","{""ImportId"":""QID1218656103_2""}","{""ImportId"":""QID1218656103_3""}","{""ImportId"":""QID1218656103_4""}","{""ImportId"":""QID1218656103_5""}","{""ImportId"":""QID1218656103_6""}","{""ImportId"":""QID1218656103_7""}","{""ImportId"":""QID1218656103_8""}","{""ImportId"":""QID1218656103_9""}","{""ImportId"":""QID1218656103_10""}","{""ImportId"":""QID1218656103_11""}","{""ImportId"":""QID1218656103_12""}","{""ImportId"":""QID1218656103_13""}","{""ImportId"":""QID1218656103_14""}","{""ImportId"":""QID1218656103_15""}","{""ImportId"":""QID1218656104""}","{""ImportId"":""QID13_1""}","{""ImportId"":""QID13_2""}","{""ImportId"":""QID13_3""}","{""ImportId"":""QID13_4""}","{""ImportId"":""QID13_5""}","{""ImportId"":""QID13_6""}","{""ImportId"":""QID13_7""}","{""ImportId"":""QID13_8""}","{""ImportId"":""QID13_9""}","{""ImportId"":""QID13_10""}","{""ImportId"":""QID13_11""}","{""ImportId"":""QID13_12""}","{""ImportId"":""QID13_13""}","{""ImportId"":""QID13_14""}","{""ImportId"":""QID1218656106""}","{""ImportId"":""QID1218656107""}","{""ImportId"":""PROLIFIC_PID""}"
2025-08-21 09:20:56,2025-08-21 09:22:35,0,129.234.0.212,100,99,1,2025-08-21 09:22:36,R_8wjCZ6pZwGcvMS5,,,,,54.7757,-1.5781,anonymous,EN,2,99,5,6,6847fbd96237884b522218cf,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,2,6847fbd96237884b522218cf
2025-08-21 09:25:49,2025-08-21 09:26:31,0,129.234.0.212,100,42,1,2025-08-21 09:26:32,R_2yj9QQD9VWjYbuJ,,,,,54.7757,-1.5781,anonymous,EN,2,99,5,6,6847fbd96237884b522218cf,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,2,6847fbd96237884b522218cf
2025-08-21 09:33:13,2025-08-21 09:35:22,0,146.198.73.227,100,128,1,2025-08-21 09:35:22,R_86ffOrCkTsbf2Sj,,,,,52.6667,0.1667,anonymous,EN,2,53,2,2,678f891d24aaca1f40d5cb0e,4,4,5,4,4,4,4,4,4,4,1,2,4,4,1,3,4,4,1,3,4,4,4,4,4,4,1,1,4,4,3,2,678f891d24aaca1f40d5cb0e
2025-08-21 09:35:23,2025-08-21 09:36:48,0,86.176.114.70,100,85,1,2025-08-21 09:36:49,R_8felTfqbjRY2Wkz,,,,,51.5538,-0.3102,anonymous,EN,2,24,1,2,5e1b795dc799223a3b447ada,4,5,3,4,5,4,4,3,5,5,1,4,4,4,1,4,5,5,4,4,4,4,5,4,5,5,1,5,5,4,4,2,5e1b795dc799223a3b447ada
2025-08-21 09:35:11,2025-08-21 09:37:23,0,89.243.70.104,100,132,1,2025-08-21 09:37:24,R_82L7dU8r3mxL5Kl,,,,,53.7663,-1.5695,anonymous,EN,2,63,1,2,5deebd169b8f245615d59507,4,5,4,4,4,4,5,4,4,4,2,4,5,4,1,3,4,5,4,4,4,4,4,4,4,5,1,4,5,4,3,2,5deebd169b8f245615d59507
2025-08-21 09:34:24,2025-08-21 09:37:55,0,46.64.152.52,100,210,1,2025-08-21 09:37:55,R_8YSMHHU9nIm2SQh,,,,,50.8039,-1.1326,anonymous,EN,2,32,2,2,5dd005a9eb39730fc834988f,5,5,5,5,5,5,5,5,5,5,1,5,5,5,1,4,5,5,4,5,5,5,5,5,5,5,1,5,5,5,3,2,5dd005a9eb39730fc834988f
2025-08-21 09:36:16,2025-08-21 09:43:48,0,90.252.82.80,100,451,1,2025-08-21 09:43:48,R_2HGsXOMg9ryCbn3,,,,,55.867,-4.2621,anonymous,EN,2,53,1,2,59fabb7e38ed430001be6965,5,5,5,4,4,3,5,4,4,3,1,4,3,4,1,3,5,5,5,5,5,5,5,4,5,5,1,5,5,5,3,2,59fabb7e38ed430001be6965
2025-08-22 07:13:38,2025-08-22 07:15:02,0,84.68.49.10,100,83,1,2025-08-22 07:15:03,R_21JADeaup2SCfFT,,,,,53.5328,-2.2794,anonymous,EN,2,29,2,2,5f2075147b2ccb1408401905,5,5,5,5,5,5,5,5,5,5,1,5,5,5,1,4,4,3,4,5,4,5,5,5,4,4,1,5,5,5,3,2,5f2075147b2ccb1408401905
