StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,"Consent ","Age ","Gender ",OMSI,"Prolific ID ",I_1,I_2,I_3,I_4,I_5,I_6,I_7,I_8,I_9,I_10,I_11,I_12,I_13,I_14,I_15,I_16,I_17,"I_Rel ",X _1,X _2,X _3,X _4,X _5,X _6,X _7,X _8,X _9,X _10,X _11,X _12,X _13,X _14,X _15,X _16,X_Rel,B_1,B_2,B_3,B_4,B_5,B_6,B_7,B_8,B_9,B_10,B_11,B_12,B_13,B_14,B_15,B_16,B_Rel,Music check,PROLIFIC_PID
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,Do you consent to participating?,"What is your age? (e.g., 99)",What is your gender?,"In terms of your musical interest and expertise, which title best describes you?","What is your prolific ID?
Please note that this response should auto-fill with the correct ID","Imagine yourself in the following scenario and then rate how you would respond to the following statements in that experience:




Halfway through a concert, you realise you have been fully absorbed in the power and meaning of the music. It feels as if the music has taken you into a transcendent experience, which is exactly what you hoped for before the concert. - I was completely immersed in the music, as it altered my state of being","Imagine yourself in the following scenario and then rate how you would respond to the following statements in that experience:




Halfway through a concert, you realise you have been fully absorbed in the power and meaning of the music. It feels as if the music has taken you into a transcendent experience, which is exactly what you hoped for before the concert. - I felt like the music was lifting me into the air","Imagine yourself in the following scenario and then rate how you would respond to the following statements in that experience:




Halfway through a concert, you realise you have been fully absorbed in the power and meaning of the music. It feels as if the music has taken you into a transcendent experience, which is exactly what you hoped for before the concert. - The music provided me with a spiritual experience","Imagine yourself in the following scenario and then rate how you would respond to the following statements in that experience:




Halfway through a concert, you realise you have been fully absorbed in the power and meaning of the music. It feels as if the music has taken you into a transcendent experience, which is exactly what you hoped for before the concert. - The music related to my spirituality","Imagine yourself in the following scenario and then rate how you would respond to the following statements in that experience:




Halfway through a concert, you realise you have been fully absorbed in the power and meaning of the music. It feels as if the music has taken you into a transcendent experience, which is exactly what you hoped for before the concert. - I wanted the music to take me somewhere spiritually","Imagine yourself in the following scenario and then rate how you would respond to the following statements in that experience:




Halfway through a concert, you realise you have been fully absorbed in the power and meaning of the music. It feels as if the music has taken you into a transcendent experience, which is exactly what you hoped for before the concert. - I experienced reality differently while listening to the music","Imagine yourself in the following scenario and then rate how you would respond to the following statements in that experience:




Halfway through a concert, you realise you have been fully absorbed in the power and meaning of the music. It feels as if the music has taken you into a transcendent experience, which is exactly what you hoped for before the concert. - Listening to the music stimulated my curiosity","Imagine yourself in the following scenario and then rate how you would respond to the following statements in that experience:




Halfway through a concert, you realise you have been fully absorbed in the power and meaning of the music. It feels as if the music has taken you into a transcendent experience, which is exactly what you hoped for before the concert. - The music sparked my curiosity","Imagine yourself in the following scenario and then rate how you would respond to the following statements in that experience:




Halfway through a concert, you realise you have been fully absorbed in the power and meaning of the music. It feels as if the music has taken you into a transcendent experience, which is exactly what you hoped for before the concert. - Listening to the music was an intellectual experience for me","Imagine yourself in the following scenario and then rate how you would respond to the following statements in that experience:




Halfway through a concert, you realise you have been fully absorbed in the power and meaning of the music. It feels as if the music has taken you into a transcendent experience, which is exactly what you hoped for before the concert. - I let go of control to experience new and unfamiliar music","Imagine yourself in the following scenario and then rate how you would respond to the following statements in that experience:




Halfway through a concert, you realise you have been fully absorbed in the power and meaning of the music. It feels as if the music has taken you into a transcendent experience, which is exactly what you hoped for before the concert. - I wanted the music to make me feel something new","Imagine yourself in the following scenario and then rate how you would respond to the following statements in that experience:




Halfway through a concert, you realise you have been fully absorbed in the power and meaning of the music. It feels as if the music has taken you into a transcendent experience, which is exactly what you hoped for before the concert. - I appreciated the beauty of the music","Imagine yourself in the following scenario and then rate how you would respond to the following statements in that experience:




Halfway through a concert, you realise you have been fully absorbed in the power and meaning of the music. It feels as if the music has taken you into a transcendent experience, which is exactly what you hoped for before the concert. - I respected the music for its value as a piece of art","Imagine yourself in the following scenario and then rate how you would respond to the following statements in that experience:




Halfway through a concert, you realise you have been fully absorbed in the power and meaning of the music. It feels as if the music has taken you into a transcendent experience, which is exactly what you hoped for before the concert. - The experience was enhanced by the beauty of the music","Imagine yourself in the following scenario and then rate how you would respond to the following statements in that experience:




Halfway through a concert, you realise you have been fully absorbed in the power and meaning of the music. It feels as if the music has taken you into a transcendent experience, which is exactly what you hoped for before the concert. - The music overwhelmed everything else in the situation","Imagine yourself in the following scenario and then rate how you would respond to the following statements in that experience:




Halfway through a concert, you realise you have been fully absorbed in the power and meaning of the music. It feels as if the music has taken you into a transcendent experience, which is exactly what you hoped for before the concert. - I had an unforgettable experience alongside the music","Imagine yourself in the following scenario and then rate how you would respond to the following statements in that experience:




Halfway through a concert, you realise you have been fully absorbed in the power and meaning of the music. It feels as if the music has taken you into a transcendent experience, which is exactly what you hoped for before the concert. - If you see this statement then select strongly disagree",How relevant was the scenario based on your own life experience?,"Imagine yourself in the following scenario and then rate how you would respond to the following statements in that experience:




While out for a walk, you hear a busker playing incredible sounding music you have never discovered before. You are not sure what is attracting your interest to the music but you allow yourself to be taken in by the music and its new emotional direction. - I was completely immersed in the music, as it altered my state of being","Imagine yourself in the following scenario and then rate how you would respond to the following statements in that experience:




While out for a walk, you hear a busker playing incredible sounding music you have never discovered before. You are not sure what is attracting your interest to the music but you allow yourself to be taken in by the music and its new emotional direction. - I felt like the music was lifting me into the air","Imagine yourself in the following scenario and then rate how you would respond to the following statements in that experience:




While out for a walk, you hear a busker playing incredible sounding music you have never discovered before. You are not sure what is attracting your interest to the music but you allow yourself to be taken in by the music and its new emotional direction. - The music provided me with a spiritual experience","Imagine yourself in the following scenario and then rate how you would respond to the following statements in that experience:




While out for a walk, you hear a busker playing incredible sounding music you have never discovered before. You are not sure what is attracting your interest to the music but you allow yourself to be taken in by the music and its new emotional direction. - The music related to my spirituality","Imagine yourself in the following scenario and then rate how you would respond to the following statements in that experience:




While out for a walk, you hear a busker playing incredible sounding music you have never discovered before. You are not sure what is attracting your interest to the music but you allow yourself to be taken in by the music and its new emotional direction. - I wanted the music to take me somewhere spiritually","Imagine yourself in the following scenario and then rate how you would respond to the following statements in that experience:




While out for a walk, you hear a busker playing incredible sounding music you have never discovered before. You are not sure what is attracting your interest to the music but you allow yourself to be taken in by the music and its new emotional direction. - I experienced reality differently while listening to the music","Imagine yourself in the following scenario and then rate how you would respond to the following statements in that experience:




While out for a walk, you hear a busker playing incredible sounding music you have never discovered before. You are not sure what is attracting your interest to the music but you allow yourself to be taken in by the music and its new emotional direction. - Listening to the music stimulated my curiosity","Imagine yourself in the following scenario and then rate how you would respond to the following statements in that experience:




While out for a walk, you hear a busker playing incredible sounding music you have never discovered before. You are not sure what is attracting your interest to the music but you allow yourself to be taken in by the music and its new emotional direction. - The music sparked my curiosity","Imagine yourself in the following scenario and then rate how you would respond to the following statements in that experience:




While out for a walk, you hear a busker playing incredible sounding music you have never discovered before. You are not sure what is attracting your interest to the music but you allow yourself to be taken in by the music and its new emotional direction. - Listening to the music was an intellectual experience for me","Imagine yourself in the following scenario and then rate how you would respond to the following statements in that experience:




While out for a walk, you hear a busker playing incredible sounding music you have never discovered before. You are not sure what is attracting your interest to the music but you allow yourself to be taken in by the music and its new emotional direction. - I let go of control to experience new and unfamiliar music","Imagine yourself in the following scenario and then rate how you would respond to the following statements in that experience:




While out for a walk, you hear a busker playing incredible sounding music you have never discovered before. You are not sure what is attracting your interest to the music but you allow yourself to be taken in by the music and its new emotional direction. - I wanted the music to make me feel something new","Imagine yourself in the following scenario and then rate how you would respond to the following statements in that experience:




While out for a walk, you hear a busker playing incredible sounding music you have never discovered before. You are not sure what is attracting your interest to the music but you allow yourself to be taken in by the music and its new emotional direction. - I appreciated the beauty of the music","Imagine yourself in the following scenario and then rate how you would respond to the following statements in that experience:




While out for a walk, you hear a busker playing incredible sounding music you have never discovered before. You are not sure what is attracting your interest to the music but you allow yourself to be taken in by the music and its new emotional direction. - I respected the music for its value as a piece of art","Imagine yourself in the following scenario and then rate how you would respond to the following statements in that experience:




While out for a walk, you hear a busker playing incredible sounding music you have never discovered before. You are not sure what is attracting your interest to the music but you allow yourself to be taken in by the music and its new emotional direction. - The experience was enhanced by the beauty of the music","Imagine yourself in the following scenario and then rate how you would respond to the following statements in that experience:




While out for a walk, you hear a busker playing incredible sounding music you have never discovered before. You are not sure what is attracting your interest to the music but you allow yourself to be taken in by the music and its new emotional direction. - The music overwhelmed everything else in the situation","Imagine yourself in the following scenario and then rate how you would respond to the following statements in that experience:




While out for a walk, you hear a busker playing incredible sounding music you have never discovered before. You are not sure what is attracting your interest to the music but you allow yourself to be taken in by the music and its new emotional direction. - I had an unforgettable experience alongside the music",How relevant was the scenario based on your own life experience?,"Imagine yourself in the following scenario and then rate how you would respond to the following statements in that experience:




As you sit outside on your lunch break, you hear amazing music drifting in from a nearby building. While admiring the graceful nature of the music itself, you notice how it intensifies your lunch break into a unique and lasting experience. - I was completely immersed in the music, as it altered my state of being","Imagine yourself in the following scenario and then rate how you would respond to the following statements in that experience:




As you sit outside on your lunch break, you hear amazing music drifting in from a nearby building. While admiring the graceful nature of the music itself, you notice how it intensifies your lunch break into a unique and lasting experience. - I felt like the music was lifting me into the air","Imagine yourself in the following scenario and then rate how you would respond to the following statements in that experience:




As you sit outside on your lunch break, you hear amazing music drifting in from a nearby building. While admiring the graceful nature of the music itself, you notice how it intensifies your lunch break into a unique and lasting experience. - The music provided me with a spiritual experience","Imagine yourself in the following scenario and then rate how you would respond to the following statements in that experience:




As you sit outside on your lunch break, you hear amazing music drifting in from a nearby building. While admiring the graceful nature of the music itself, you notice how it intensifies your lunch break into a unique and lasting experience. - The music related to my spirituality","Imagine yourself in the following scenario and then rate how you would respond to the following statements in that experience:




As you sit outside on your lunch break, you hear amazing music drifting in from a nearby building. While admiring the graceful nature of the music itself, you notice how it intensifies your lunch break into a unique and lasting experience. - I wanted the music to take me somewhere spiritually","Imagine yourself in the following scenario and then rate how you would respond to the following statements in that experience:




As you sit outside on your lunch break, you hear amazing music drifting in from a nearby building. While admiring the graceful nature of the music itself, you notice how it intensifies your lunch break into a unique and lasting experience. - I experienced reality differently while listening to the music","Imagine yourself in the following scenario and then rate how you would respond to the following statements in that experience:




As you sit outside on your lunch break, you hear amazing music drifting in from a nearby building. While admiring the graceful nature of the music itself, you notice how it intensifies your lunch break into a unique and lasting experience. - Listening to the music stimulated my curiosity","Imagine yourself in the following scenario and then rate how you would respond to the following statements in that experience:




As you sit outside on your lunch break, you hear amazing music drifting in from a nearby building. While admiring the graceful nature of the music itself, you notice how it intensifies your lunch break into a unique and lasting experience. - The music sparked my curiosity","Imagine yourself in the following scenario and then rate how you would respond to the following statements in that experience:




As you sit outside on your lunch break, you hear amazing music drifting in from a nearby building. While admiring the graceful nature of the music itself, you notice how it intensifies your lunch break into a unique and lasting experience. - Listening to the music was an intellectual experience for me","Imagine yourself in the following scenario and then rate how you would respond to the following statements in that experience:




As you sit outside on your lunch break, you hear amazing music drifting in from a nearby building. While admiring the graceful nature of the music itself, you notice how it intensifies your lunch break into a unique and lasting experience. - I let go of control to experience new and unfamiliar music","Imagine yourself in the following scenario and then rate how you would respond to the following statements in that experience:




As you sit outside on your lunch break, you hear amazing music drifting in from a nearby building. While admiring the graceful nature of the music itself, you notice how it intensifies your lunch break into a unique and lasting experience. - I wanted the music to make me feel something new","Imagine yourself in the following scenario and then rate how you would respond to the following statements in that experience:




As you sit outside on your lunch break, you hear amazing music drifting in from a nearby building. While admiring the graceful nature of the music itself, you notice how it intensifies your lunch break into a unique and lasting experience. - I appreciated the beauty of the music","Imagine yourself in the following scenario and then rate how you would respond to the following statements in that experience:




As you sit outside on your lunch break, you hear amazing music drifting in from a nearby building. While admiring the graceful nature of the music itself, you notice how it intensifies your lunch break into a unique and lasting experience. - I respected the music for its value as a piece of art","Imagine yourself in the following scenario and then rate how you would respond to the following statements in that experience:




As you sit outside on your lunch break, you hear amazing music drifting in from a nearby building. While admiring the graceful nature of the music itself, you notice how it intensifies your lunch break into a unique and lasting experience. - The experience was enhanced by the beauty of the music","Imagine yourself in the following scenario and then rate how you would respond to the following statements in that experience:




As you sit outside on your lunch break, you hear amazing music drifting in from a nearby building. While admiring the graceful nature of the music itself, you notice how it intensifies your lunch break into a unique and lasting experience. - The music overwhelmed everything else in the situation","Imagine yourself in the following scenario and then rate how you would respond to the following statements in that experience:




As you sit outside on your lunch break, you hear amazing music drifting in from a nearby building. While admiring the graceful nature of the music itself, you notice how it intensifies your lunch break into a unique and lasting experience. - I had an unforgettable experience alongside the music",How relevant was the scenario based on your own life experience?,Did you listen to music while completing this survey?,PROLIFIC_PID
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID1218656807""}","{""ImportId"":""QID1218656808_TEXT""}","{""ImportId"":""QID1218656809""}","{""ImportId"":""QID1218656810""}","{""ImportId"":""QID1218656811_TEXT""}","{""ImportId"":""QID1218656816_1""}","{""ImportId"":""QID1218656816_2""}","{""ImportId"":""QID1218656816_3""}","{""ImportId"":""QID1218656816_4""}","{""ImportId"":""QID1218656816_5""}","{""ImportId"":""QID1218656816_6""}","{""ImportId"":""QID1218656816_7""}","{""ImportId"":""QID1218656816_8""}","{""ImportId"":""QID1218656816_9""}","{""ImportId"":""QID1218656816_10""}","{""ImportId"":""QID1218656816_11""}","{""ImportId"":""QID1218656816_12""}","{""ImportId"":""QID1218656816_13""}","{""ImportId"":""QID1218656816_14""}","{""ImportId"":""QID1218656816_15""}","{""ImportId"":""QID1218656816_16""}","{""ImportId"":""QID1218656816_17""}","{""ImportId"":""QID1218656817""}","{""ImportId"":""QID14_1""}","{""ImportId"":""QID14_2""}","{""ImportId"":""QID14_3""}","{""ImportId"":""QID14_4""}","{""ImportId"":""QID14_5""}","{""ImportId"":""QID14_6""}","{""ImportId"":""QID14_7""}","{""ImportId"":""QID14_8""}","{""ImportId"":""QID14_9""}","{""ImportId"":""QID14_10""}","{""ImportId"":""QID14_11""}","{""ImportId"":""QID14_12""}","{""ImportId"":""QID14_13""}","{""ImportId"":""QID14_14""}","{""ImportId"":""QID14_15""}","{""ImportId"":""QID14_16""}","{""ImportId"":""QID15""}","{""ImportId"":""QID11_1""}","{""ImportId"":""QID11_2""}","{""ImportId"":""QID11_3""}","{""ImportId"":""QID11_4""}","{""ImportId"":""QID11_5""}","{""ImportId"":""QID11_6""}","{""ImportId"":""QID11_7""}","{""ImportId"":""QID11_8""}","{""ImportId"":""QID11_9""}","{""ImportId"":""QID11_10""}","{""ImportId"":""QID11_11""}","{""ImportId"":""QID11_12""}","{""ImportId"":""QID11_13""}","{""ImportId"":""QID11_14""}","{""ImportId"":""QID11_15""}","{""ImportId"":""QID11_16""}","{""ImportId"":""QID12""}","{""ImportId"":""QID1218656845""}","{""ImportId"":""PROLIFIC_PID""}"
2025-09-02 14:01:31,2025-09-02 14:02:39,0,87.74.109.215,100,67,1,2025-09-02 14:02:40,R_8NEBc4EKEmtijQJ,,,,,52.987,-2.4009,anonymous,EN,2,99,5,6,6847fbd96237884b522218cf,,,,,,,,,,,,,,,,,,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,2,6847fbd96237884b522218cf
2025-09-02 14:03:57,2025-09-02 14:04:00,0,87.74.109.215,100,3,1,2025-09-02 14:04:00,R_21GPSCDuT3ylH26,,,,,52.987,-2.4009,anonymous,EN,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6847fbd96237884b522218cf
2025-09-02 14:04:04,2025-09-02 14:05:04,0,87.74.109.215,100,60,1,2025-09-02 14:05:05,R_8tOmWWuHkFjVY7D,,,,,52.987,-2.4009,anonymous,EN,2,99,5,6,6847fbd96237884b522218cf,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,2,6847fbd96237884b522218cf
2025-09-02 14:09:12,2025-09-02 14:10:46,0,88.97.166.170,100,94,1,2025-09-02 14:10:47,R_2iobZdp3dnuuQNj,,,,,52.4835,-2.0835,anonymous,EN,2,30,1,1,6130a2a2e00bc5b94c8b83e7,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,2,6130a2a2e00bc5b94c8b83e7
2025-09-02 14:08:15,2025-09-02 14:10:51,0,82.11.19.16,100,155,1,2025-09-02 14:10:51,R_21hmcmsayH77hdP,,,,,53.6479,-1.7812,anonymous,EN,2,33,1,4,5ee50501a3c8f8235ea18d0e,5,4,3,3,3,4,3,3,4,4,4,4,4,4,5,4,5,3,3,3,3,3,3,2,4,5,5,4,4,5,5,4,4,4,3,2,2,2,2,3,3,3,3,4,2,2,4,4,4,2,2,2,2,5ee50501a3c8f8235ea18d0e
2025-09-02 14:07:39,2025-09-02 14:11:20,0,62.56.10.14,100,220,1,2025-09-02 14:11:20,R_8NwdgZGFv7rHu2g,,,,,51.4114,-0.2195,anonymous,EN,2,33,2,2,5f653cb18aad310a9ee7c32d,4,5,3,3,3,3,4,4,3,3,4,5,4,4,5,4,1,2,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,1,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,2,2,5f653cb18aad310a9ee7c32d
2025-09-02 14:08:17,2025-09-02 14:12:30,0,92.29.212.222,100,252,1,2025-09-02 14:12:30,R_8lz1XCxbg2krrLZ,,,,,52.9648,-1.2132,anonymous,EN,2,30,2,2,5eeb4ad567a40221fd8a1a04,3,3,3,5,4,3,3,3,4,3,4,4,4,4,4,4,4,3,3,3,4,4,3,4,3,3,3,4,4,3,3,4,4,4,3,4,3,3,4,3,3,3,5,4,3,3,4,4,3,4,4,3,2,5eeb4ad567a40221fd8a1a04
2025-09-02 14:09:13,2025-09-02 14:12:45,0,82.11.227.50,100,212,1,2025-09-02 14:12:46,R_8gXHcNsXJjmIwQ2,,,,,51.7639,-0.2236,anonymous,EN,2,38,1,2,6661b3bccfa516ea302f4556,3,4,3,3,3,3,4,4,3,4,3,3,3,3,3,3,1,3,3,2,2,2,2,4,3,3,3,3,4,3,4,2,3,2,3,4,2,2,3,2,2,4,3,4,3,3,4,3,4,3,3,3,2,6661b3bccfa516ea302f4556
